% Model:              on_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 7 2025, 00:12
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.044351323493016556i                             0.044351323493016556i                             NaN                                               NaN
0                                                 0.046962923465486285                              0.046962923465486285                              NaN                                               NaN
0                                                 1871.379836438825                                 1871.379836438825                                 NaN                                               NaN
0                                                 1912.13954891713                                  1912.13954891713                                  NaN                                               NaN
0                                                 9309.396052155556                                 9309.396052155556                                 NaN                                               NaN
0                                                 10414.180990919916                                10414.180990919916                                NaN                                               NaN
0                                                 19663.979914641666                                19663.979914641666                                NaN                                               NaN
0                                                 24306.018177700444                                24306.018177700444                                NaN                                               NaN
0                                                 37910.600691060674                                37910.600691060674                                NaN                                               NaN
0                                                 38973.56290431408                                 38973.56290431408                                 NaN                                               NaN
0                                                 40218.462223196155                                40218.462223196155                                NaN                                               NaN
0                                                 41888.97627504729                                 41888.97627504729                                 NaN                                               NaN
0                                                 56681.79125800013                                 56681.79125800013                                 NaN                                               NaN
0                                                 57451.460808822296                                57451.460808822296                                NaN                                               NaN
0                                                 75465.2642583547                                  75465.2642583547                                  NaN                                               NaN
0                                                 79412.1774188371                                  79412.1774188371                                  NaN                                               NaN
0                                                 83348.17014390203                                 83348.17014390203                                 NaN                                               NaN
0                                                 87190.0398689703                                  87190.0398689703                                  NaN                                               NaN
0                                                 97796.36467099455                                 97796.36467099455                                 NaN                                               NaN
0                                                 101000.24232392386                                101000.24232392386                                NaN                                               NaN
0.4407397100995781                                56669.245593022846-6.654976282624511E-5i          56669.245593022846-6.654976282624511E-5i          0.09085642280225281                               0.9091435771977473
0.4407397100995781                                57464.04513171414+3.678828563309137E-5i           57464.04513171414+3.678828563309137E-5i           0.06443061583841926                               0.9355693841615814
0.4407397100995781                                75462.52112398503+5.529512208417484E-4i           75462.52112398503+5.529512208417484E-4i           0.07234315497786531                               0.9276568450221345
0.4407397100995781                                79414.91453039511+0.003633104850539318i           79414.91453039511+0.003633104850539318i           0.11895102882314433                               0.8810489711768561
0.4407397100995781                                83339.19176677706-7.111787867645445E-5i           83339.19176677706-7.111787867645445E-5i           0.9964991726736137                                0.0035008273263872985
0.4407397100995781                                87199.24167114132-2.6661476996104683E-4i          87199.24167114132-2.6661476996104683E-4i          0.9959578882809511                                0.0040421117190491945
0.4407397100995781                                97793.2475977252-5.148621115949767E-4i            97793.2475977252-5.148621115949767E-4i            0.10719534979764715                               0.8928046502023521
0.4407397100995781                                101003.26028708922-4.368277487431144E-4i          101003.26028708922-4.368277487431144E-4i          0.1198098652830448                                0.8801901347169551
0.8814794201991561                                0.1905749980281661+3.2552124503794505E-7i         0.1905749980281661+3.2552124503794505E-7i         5.675288673489132E-7                              0.9999994324711308
0.8814794201991561                                406.56049045752354+1.1481938832318268E-10i        406.56049045752354+1.1481938832318268E-10i        0.9999999521623911                                4.783760825731817E-8
0.8814794201991561                                1849.3220633045798+2.606169694705539E-8i          1849.3220633045798+2.606169694705539E-8i          0.00647373012794631                               0.9935262698720547
0.8814794201991561                                1934.4717163419843+9.425501952979995E-8i          1934.4717163419843+9.425501952979995E-8i          0.006915470636395817                              0.9930845293636049
0.8814794201991561                                9301.855592820753+3.6551337639889217E-6i          9301.855592820753+3.6551337639889217E-6i          0.02242468513073057                               0.9775753148692696
0.8814794201991561                                10422.36919456786+1.8474896958842415E-6i          10422.36919456786+1.8474896958842415E-6i          0.02000179928518522                               0.9799982007148142
0.8814794201991561                                19659.836411619206+2.202836256481911E-5i          19659.836411619206+2.202836256481911E-5i          0.05460949035743374                               0.9453905096425657
0.8814794201991561                                24310.58691076046-5.1144579638093576E-5i          24310.58691076046-5.1144579638093576E-5i          0.029027417062441892                              0.9709725829375581
0.8814794201991561                                37883.18213958299+2.289705469199597E-5i           37883.18213958299+2.289705469199597E-5i           0.06728481436924531                               0.9327151856307536
0.8814794201991561                                39001.347900476874-5.529837800604364E-5i          39001.347900476874-5.529837800604364E-5i          0.05391906129520224                               0.9460809387047975
0.8814794201991561                                40119.16355352723-3.643734741999294E-5i           40119.16355352723-3.643734741999294E-5i           0.9993582684586414                                6.417315413576006E-4
0.8814794201991561                                41987.20128898911+1.9813991946492873E-5i          41987.20128898911+1.9813991946492873E-5i          0.9991291816750582                                8.708183249415887E-4
0.8814794201991561                                56633.79236217891-7.168527006086575E-5i           56633.79236217891-7.168527006086575E-5i           0.08972533128406278                               0.9102746687159379
0.8814794201991561                                57499.6158008849+2.805433156717675E-4i            57499.6158008849+2.805433156717675E-4i            0.06559036220409756                               0.9344096377959018
