% Model:              off_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 6 2025, 22:41
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.04514428009739759i                              0.04514428009739759i                              NaN                                               NaN
0                                                 0.04391962296830805                               0.04391962296830805                               NaN                                               NaN
0                                                 1955.0211804642363                                1955.0211804642363                                NaN                                               NaN
0                                                 1961.3546262725856                                1961.3546262725856                                NaN                                               NaN
0                                                 10671.11219121512                                 10671.11219121512                                 NaN                                               NaN
0                                                 10677.667574502375                                10677.667574502375                                NaN                                               NaN
0                                                 20921.40447463754                                 20921.40447463754                                 NaN                                               NaN
0                                                 26653.787627615176                                26653.787627615176                                NaN                                               NaN
0                                                 41360.06131153889                                 41360.06131153889                                 NaN                                               NaN
0                                                 41378.61702471798                                 41378.61702471798                                 NaN                                               NaN
0                                                 42271.63491464612                                 42271.63491464612                                 NaN                                               NaN
0                                                 43260.77183118227                                 43260.77183118227                                 NaN                                               NaN
0                                                 61275.52704630262                                 61275.52704630262                                 NaN                                               NaN
0                                                 61302.63797215087                                 61302.63797215087                                 NaN                                               NaN
0                                                 79858.44521956838                                 79858.44521956838                                 NaN                                               NaN
0                                                 86493.55560189688                                 86493.55560189688                                 NaN                                               NaN
0                                                 88704.15959267101                                 88704.15959267101                                 NaN                                               NaN
0                                                 90050.62056664334                                 90050.62056664334                                 NaN                                               NaN
0                                                 105216.55159512952                                105216.55159512952                                NaN                                               NaN
0                                                 105259.55242834512                                105259.55242834512                                NaN                                               NaN
0.4407397100995781                                20920.413615397985-2.863321877980394E-4i          20920.413615397985-2.863321877980394E-4i          0.05538567215592312                               0.9446143278440764
0.4407397100995781                                26654.91457450239+2.0617227706538788E-5i          26654.91457450239+2.0617227706538788E-5i          0.024617819939162466                              0.9753821800608373
0.4407397100995781                                41275.46796325352-1.5338220934507698E-4i          41275.46796325352-1.5338220934507698E-4i          0.05974972685535065                               0.9402502731446509
0.4407397100995781                                41463.28895056434-5.676720474569384E-5i           41463.28895056434-5.676720474569384E-5i           0.06001639638309601                               0.9399836036169033
0.4407397100995781                                42226.365327560095+8.299591122016271E-6i          42226.365327560095+8.299591122016271E-6i          0.9993836448223526                                6.163551776469163E-4
0.4407397100995781                                43305.711920203634+6.831155986857857E-5i          43305.711920203634+6.831155986857857E-5i          0.9991578376710383                                8.421623289625829E-4
0.4407397100995781                                61183.09296629622+1.3991751513083852E-4i          61183.09296629622+1.3991751513083852E-4i          0.07393703183567248                               0.9260629681643266
0.4407397100995781                                61395.10313410972-5.053853522539875E-4i           61395.10313410972-5.053853522539875E-4i           0.07410361489691265                               0.9258963851030872
0.4407397100995781                                79856.54086591501+5.208841302055617E-4i           79856.54086591501+5.208841302055617E-4i           0.06595050392592765                               0.9340494960740731
0.4407397100995781                                86495.508206925-3.387663478391997E-4i             86495.508206925-3.387663478391997E-4i             0.12244474514582068                               0.877555254854178
0.4407397100995781                                88677.51224974931-7.646375222469775E-5i           88677.51224974931-7.646375222469775E-5i           0.9967333839723382                                0.0032666160276613146
0.4407397100995781                                90077.53996494426-1.9674177289406055E-4i          90077.53996494426-1.9674177289406055E-4i          0.995969541301592                                 0.004030458698409358
0.4407397100995781                                105140.19387756253+0.0013817172240764234i         105140.19387756253+0.0013817172240764234i         0.10538019062646209                               0.8946198093735375
0.4407397100995781                                105335.59045344422-6.816736822807709E-6i          105335.59045344422-6.816736822807709E-6i          0.10530218791562637                               0.8946978120843736
0.8814794201991561                                0.19799667075738023+4.9296933708991065E-8i        0.19799667075738023+4.9296933708991065E-8i        5.6752982716176E-7                                0.9999994324701711
0.8814794201991561                                425.5835867869583+3.0774348548395217E-11i         425.5835867869583+3.0774348548395217E-11i         0.9999999538850483                                4.6114950839114324E-8
0.8814794201991561                                1919.6435724635267+1.0948321315442283E-7i         1919.6435724635267+1.0948321315442283E-7i         0.0066476390770585795                             0.9933523609229419
0.8814794201991561                                1997.002097580023-1.5342458271723444E-7i          1997.002097580023-1.5342458271723444E-7i          0.0069752237221888625                             0.9930247762778103
0.8814794201991561                                10574.15228339091-1.622196242920983E-5i           10574.15228339091-1.622196242920983E-5i           0.020555934552169197                              0.9794440654478302
0.8814794201991561                                10775.352974997233-6.055897172015723E-6i          10775.352974997233-6.055897172015723E-6i          0.021097468146093916                              0.9789025318539057
0.8814794201991561                                20917.443661962832+3.191459599961901E-4i          20917.443661962832+3.191459599961901E-4i          0.05535988804277444                               0.9446401119572262
0.8814794201991561                                26658.293005035164-1.8055141230348013E-4i         26658.293005035164-1.8055141230348013E-4i         0.024645635239133115                              0.9753543647608678
0.8814794201991561                                41182.363972678606+3.598814867945492E-4i          41182.363972678606+3.598814867945492E-4i          0.05961566051736158                               0.9403843394826374
0.8814794201991561                                41556.628400248024+9.899602459746881E-5i          41556.628400248024+9.899602459746881E-5i          0.060151855082724276                              0.9398481449172776
0.8814794201991561                                42108.8986086401+4.9510006492041026E-6i           42108.8986086401+4.9510006492041026E-6i           0.9993715531521784                                6.284468478221958E-4
0.8814794201991561                                43422.18987934749+3.598994085552611E-5i           43422.18987934749+3.598994085552611E-5i           0.9991688306491807                                8.311693508191493E-4
0.8814794201991561                                61078.43945901836+2.29671067675507E-4i            61078.43945901836+2.29671067675507E-4i            0.0738490909400472                                0.9261509090599549
0.8814794201991561                                61499.85177904525-1.9094625617248811E-4i          61499.85177904525-1.9094625617248811E-4i          0.07418938173263888                               0.9258106182673618
0.8814794201991561                                79850.83432682663+1.0454828845528119E-5i          79850.83432682663+1.0454828845528119E-5i          0.06599338879679892                               0.9340066112032013
0.8814794201991561                                86501.33664202975-0.0033533976532023i             86501.33664202975-0.0033533976532023i             0.12240303582533585                               0.8775969641746639
0.8814794201991561                                88603.11005775249-7.321884077675871E-5i           88603.11005775249-7.321884077675871E-5i           0.9967065544901341                                0.0032934455098664107
0.8814794201991561                                90152.7586662419-3.3027467208902585E-4i           90152.7586662419-3.3027467208902585E-4i           0.9959959463834502                                0.004004053616549847
0.8814794201991561                                105045.60397103043+3.5105589552952913E-4i         105045.60397103043+3.5105589552952913E-4i         0.10540294633682869                               0.8945970536631735
